record_date,ticker,closing_price_zmw,boz_policy_rate,zmw_usd_rate,tb_yield_91_day,boz_rate_lagged_1q,total_disbursed_loans_zmw,delinquent_30d_plus_zmw,optasia_npl_ratio_pct
31/03/2024,ZANACO,4.1,12.5,25.4,11.5,,85000000,2900000,3.411764706
30/06/2024,ZANACO,4.8,13.5,26.1,12,12.5,90000000,4100000,4.555555556
30/09/2024,ZANACO,5.2,13.5,26.8,12.5,13.5,95000000,6650000,7
31/12/2024,ZANACO,5,14,27.2,13.5,13.5,102000000,8100000,7.941176471
31/03/2025,ZANACO,4.8,14.5,25.5,14.5,14,108000000,9200000,8.518518519
30/06/2025,ZANACO,5.1,14.5,24.1,14,14.5,115000000,7100000,6.173913043
30/09/2025,ZANACO,5.4,14,23.4,13,14.5,122000000,6100000,5
31/12/2025,ZANACO,5.98,13.5,22.85,12.5,14,130000000,5200000,4
31/03/2026,ZANACO,7.5,13.5,21.2,11.75,13.5,135000000,4100000,3.037037037
30/06/2026,ZANACO,9.54,13.25,20.4,11.25,13.5,140000000,3500000,2.5
31/03/2024,ATEL,22,12.5,25.4,11.5,,85000000,2900000,3.411764706
30/06/2024,ATEL,23.5,13.5,26.1,12,12.5,90000000,4100000,4.555555556
30/09/2024,ATEL,24,13.5,26.8,12.5,13.5,95000000,6650000,7
31/12/2024,ATEL,23.8,14,27.2,13.5,13.5,102000000,8100000,7.941176471
31/03/2025,ATEL,21.5,14.5,25.5,14.5,14,108000000,9200000,8.518518519
30/06/2025,ATEL,22,14.5,24.1,14,14.5,115000000,7100000,6.173913043
30/09/2025,ATEL,23.1,14,23.4,13,14.5,122000000,6100000,5
31/12/2025,ATEL,24.5,13.5,22.85,12.5,14,130000000,5200000,4
31/03/2026,ATEL,26,13.5,21.2,11.75,13.5,135000000,4100000,3.037037037
30/06/2026,ATEL,28.2,13.25,20.4,11.25,13.5,140000000,3500000,2.5
